Poshmark Inventory Report for @jenwm5
Inventory as of 05/19/2020
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info
11/29/2018,537,"",Steve Madden nude Daarlah heels/ 8.5,Women,Shoes,Heels,Steve Madden,Tan,8.5,N,9,"",$12.00,$21.00,""
11/29/2018,537,"",MADDEN men’s navy “orbitt” sneakers/11,Men,Shoes,Sneakers,Steve Madden,Blue,11,N,1,"",$9.00,$19.00,""
12/04/2018,532,"",Lucky Brand Sophia Straight Jeans/ 2,Women,Jeans,Straight Leg,Lucky Brand,"",2,N,5,"",$8.00,$14.00,""
12/17/2018,519,"",Loft white long sleeve tunic/ XS,Women,Tops,Tunics,LOFT,White,XS,N,13,"",$7.00,$15.00,""
01/11/2019,494,"",Bullhead skinniest jeans/3,Women,Jeans,Skinny,Bullhead,"",3J,N,4,"",$8.00,$12.00,""
01/13/2019,492,"",Banana Republic angora sweater/s,Women,Sweaters,"",Banana Republic,Gray,S,N,3,"",$5.00,$12.00,""
01/13/2019,492,"",Aeropostale angora blend hoodie sweater/XS,Women,Sweaters,"",Aeropostale,"Green, Blue",XS,N,9,"",$9.00,$13.00,""
01/14/2019,491,"","Traditional Asian Top/black, L",Kids,Shirts & Tops,"",Silk Fashion,Black,LG,Y,5,"",$6.00,$6.00,""
01/22/2019,483,"",Tie dye-ish leggings/ turquoise& black/ XS,Women,Pants,Leggings,Champion,"Blue, Black",XS,N,9,"",$7.00,$14.00,""
01/22/2019,483,"","Whale blouse/ navy, pink, white/ m",Women,Tops,Blouses,Merona,"",M,N,4,"",$8.00,$13.00,""
01/28/2019,477,"",MPG hot pink strappy athletic tank/XXS,Women,Tops,Tank Tops,MPG,Pink,XXS,N,0,"",$8.00,$15.00,""
01/31/2019,474,"",Madewell gray & White long sleeve t/ small,Women,Tops,Tees - Long Sleeve,Madewell,"Gray, White",S,N,8,"",$9.00,$12.00,""
01/31/2019,474,"",Intimately free people black & white dress/ small,Women,Dresses,Mini,Free People,"Black, White",S,N,15,"",$8.00,$14.00,""
02/06/2019,468,"",Onia Calder swim shorts “Hera” peacock/ 36,Men,Swim,Swim Trunks,Onia,"",36,N,6,"",$15.00,$30.00,""
02/06/2019,468,"",Cartonnier Anthropologie mint crop pants/ 4,Women,Pants,Capris,Anthropologie,"",4,N,9,"",$7.00,$20.00,""
02/10/2019,464,"",Anthro Moulinette Soeurs silk floral dress/S,Women,Dresses,"",Anthropologie,"Cream, Blue",S,N,5,"",$6.00,$16.00,""
02/23/2019,451,"",Sigrid Olsen cream quilted & ribbed jacket/ m,Women,Jackets & Coats,"",Sigrid Olsen,Cream,M,N,5,"",$9.00,$15.00,""
02/23/2019,451,"",Pieces by Kensie cropped lightweight cardigan/s,Women,Sweaters,Cardigans,Kensie,"",S,N,0,"",$11.00,$14.00,""
02/23/2019,451,"",Vintage Prana brown & cream hoodie/ XS,Women,Tops,Sweatshirts & Hoodies,Prana,Brown,XS,N,7,"",$9.00,$18.00,""
02/25/2019,449,"",Buffalo David Bitton “Faith ankle skinny” red/ 00,Women,Pants,Ankle & Cropped,Buffalo David Bitton,Red,00,Y,3,"",$9.00,$14.00,""
02/26/2019,448,"",New balance gray &orange running shorts/s,Women,Shorts,"",New Balance,"Gray, Orange",S,N,5,"",$7.00,$15.00,""
02/26/2019,448,"",Lucky Brand Lola Straight Jeans/ 26 x 33,Women,Jeans,Straight Leg,Lucky Brand,"",26,Y,2,"",$9.00,$16.00,""
02/26/2019,448,"",Boden straight/wide leg jeans/ 4,Women,Jeans,Flare & Wide Leg,Boden,"",4,N,5,"",$9.00,$23.00,""
02/26/2019,448,"",Joe’s jeans Anabella Honey curvy bootcut/ 26,Women,Jeans,Boot Cut,Joe's Jeans,"",26,N,2,"",$11.00,$14.00,""
02/26/2019,448,"",New Balance black fleece 1/4 zip/ M,Women,Tops,Sweatshirts & Hoodies,New Balance,Black,M,N,6,"",$11.00,$17.00,""
02/27/2019,447,"",Vanessa Virginia Anthropologie navy top/ 4,Women,Tops,"",Anthropologie,Blue,4,N,10,"",$9.00,$16.00,""
02/27/2019,447,"",Miss Me white embroidered front top/ XS,Women,Tops,Sweatshirts & Hoodies,Miss Me,White,XS,N,7,"",$9.00,$15.00,""
03/01/2019,445,"",Southern Tide Nautical the polo/mustard & blue/ sm,Men,Shirts,"",Southern Tide,"Yellow, Blue",S,N,4,"",$9.00,$18.00,""
03/01/2019,445,"",Soft Joie red buffalo check 3 button top/ m,Women,Tops,Blouses,Joie,"Red, Black",M,N,7,"",$9.00,$22.00,""
03/01/2019,445,"",Columbia light blue fleece top/ M,Women,Tops,"",Columbia,"",M,Y,5,"",$8.00,$15.00,""
03/02/2019,444,"",t.la magenta 3/4 sleeve top/ M,Women,Tops,"",T.La,Purple,M,N,3,"",$8.00,$8.00,""
03/02/2019,444,"",Létté black & silver semi formal strapless dress/s,Women,Dresses,Prom,Létté,"Black, Silver",SJ,N,4,"",$10.00,$10.00,""
03/03/2019,443,"",“Dressed to KALE” army green top/ XS,Women,Tops,"",Grayson Threads,"",XS,N,2,"",$8.00,$14.00,""
03/14/2019,432,"",100% silk Patterson J Kinkaid paisley tank/S,Women,Tops,Tank Tops,Patterson J. Kincaid,"",S,N,1,"",$8.00,$14.00,""
03/14/2019,432,"",Michael Kors white belted trench coat/ S,Women,Jackets & Coats,Trench Coats,MICHAEL Michael Kors,White,S,N,22,"",$14.00,$40.00,""
03/15/2019,431,"",ASOS black booties/ 6,Women,Shoes,Ankle Boots & Booties,ASOS,Black,6,N,30,"",$10.00,$21.00,""
03/16/2019,430,"",Crown & Ivy elephant blouse/ L,Women,Tops,Blouses,crown & ivy,"",L,N,7,"",$9.00,$14.00,""
03/20/2019,426,"",Isola brown tortoise patent ballet flats/ 6,Women,Shoes,Flats & Loafers,Isola,Brown,6,N,1,"",$13.00,$18.00,""
03/20/2019,426,"",Puella (Anthropologie)orange striped swing tank/XS,Women,Tops,Tunics,Anthropologie,"Orange, Tan",XS,N,1,"",$7.00,$18.00,""
03/24/2019,422,"",Ferragamo luxury gatsby heels (cream/dk copper)8.5,Women,Shoes,Heels,Salvatore Ferragamo,"Cream, Brown",8.5,N,14,"",$19.00,$19.00,""
03/24/2019,422,"","Keds- unique Black, white & purple / 9",Women,Shoes,Sneakers,Keds,"Black, White",9,N,7,"",$7.00,$18.00,""
03/24/2019,422,"",A New Day heeled brown booties/ 6.5,Women,Shoes,Ankle Boots & Booties,a new day,Brown,6.5,N,14,"",$10.00,$18.00,""
03/31/2019,415,"",Lilly Pulitzer pink beaded strapless dress/ 10,Women,Dresses,Strapless,Lilly Pulitzer,"Pink, White",10,N,24,"",$13.00,$25.00,""
04/03/2019,412,"",Wonderly heathered lavender LS crop/ XS,Women,Tops,Tees - Long Sleeve,Wonderly,Purple,XS,Y,2,"",$7.00,$14.00,""
04/14/2019,401,"",Nurture brown wedge closed toe sandal/ 5.5,Women,Shoes,"",nurture,Brown,5.5,N,9,"",$10.00,$24.00,""
04/14/2019,401,"",Nine West cream & tan bag,Women,Bags,"",Nine West,"Cream, Tan",OS,Y,13,"",$8.00,$15.00,""
04/14/2019,401,"",Ralph Lauren active striped Bermuda shorts/ 2,Women,Shorts,Bermudas,Ralph Lauren,"Blue, White",2,N,2,"",$8.00,$21.00,""
04/19/2019,396,"",Nike rival md racing spikes/ 9.5,Men,Shoes,Athletic Shoes,Nike,"Black, White",9.5,N,4,"",$16.00,$16.00,""
04/19/2019,396,"",Tsonga thong with flower accent/ 10,Women,Shoes,Sandals,Tsonga,"Tan, Brown",10,N,3,"",$9.00,$19.00,""
04/19/2019,396,"",Sofft black heels/9,Women,Shoes,"",Sofft,Black,9,N,4,"",$14.00,$18.00,""
04/23/2019,392,"",Remonte Dorndorf black shoes/ 9 (39),Women,Shoes,"",Remonte Dorndorf,Black,9,N,3,"",$9.00,$18.00,""
04/27/2019,388,"",Athleta charcoal corduroy skirt/ 10,Women,Skirts,Mini,Athleta,Gray,10,N,9,"",$12.00,$20.00,""
04/27/2019,388,"",“Whew! ...almost had to socialize!” Ss T-shirt/m,Men,Shirts,Tees - Short Sleeve,Gildan,Gray,M,N,1,"",$7.00,$7.00,""
04/27/2019,388,"",Crown & Ivy owl cardigan/ navy white lime/ m,Women,Sweaters,Cardigans,crown & ivy,"Blue, Green",M,N,9,"",$11.00,$18.00,""
05/03/2019,382,"",Moth hooded cardigan/ gray & cream/ s,Women,Tops,Sweatshirts & Hoodies,Anthropologie,"Gray, Cream",S,N,4,"",$8.00,$14.00,""
05/03/2019,382,"",Loft navy tank w sheer sequin accent overlay/ XS,Women,Tops,Tank Tops,LOFT,Blue,XS,Y,0,"",$9.00,$18.00,""
05/03/2019,382,"",Lou & grey Long sleeve top/ xs,Women,Tops,"",Lou & Grey,"Blue, Black",XS,N,2,"",$11.00,$14.00,""
05/03/2019,382,"",Burton brown T-shirt/ m,Men,Shirts,Tees - Short Sleeve,Burton,Brown,M,N,8,"",$8.00,$12.00,""
05/03/2019,382,"",J.crew tribal print red & white city fit shorts/00,Women,Shorts,"",J. Crew,"Red, White",00,N,3,"",$8.00,$15.00,""
05/03/2019,382,"",Dj freakin’ Moore (Panthers) T-shirt/m,Men,Shirts,Tees - Short Sleeve,"","",M,N,3,"",$11.00,$11.00,""
05/03/2019,382,"",Anthropologie pure + good olive short sleeve t/ S,Women,Tops,Tees - Short Sleeve,Anthropologie,"",S,N,6,"",$7.00,$14.00,""
05/03/2019,382,"",G.E.T. Tan linen  jacket/ med,Women,Jackets & Coats,"",G.E.T.,Tan,M,N,3,"",$14.00,$20.00,""
05/03/2019,382,"",Tommy Hilfiger platform sandals/ 7,Women,Shoes,Platforms,Tommy Hilfiger,"Gold, White",7,N,9,"",$7.00,$15.00,""
05/06/2019,379,"",Munro Cindi Black / 7,Women,Shoes,"",Munro,Black,7,N,1,"",$19.00,$19.00,""
05/06/2019,379,"",Nurture black wedge thong/ 6,Women,Shoes,Wedges,Nurture by Lamaze,Black,6,N,6,"",$11.00,$21.00,""
05/06/2019,379,"",Anthropologie Miss Albright Tortola woven flats/ 9,Women,Shoes,Flats & Loafers,Miss Albright,Tan,9,N,15,"",$8.00,$15.00,""
05/06/2019,379,"",Air Jordan Future Basketball sneakers/ 8,Men,Shoes,Athletic Shoes,Jordan,"Red, Black",8,N,13,"",$12.00,$22.00,""
05/06/2019,379,"",Clark’s privo poppy bloom coral strappy flat/ 7,Women,Shoes,Flats & Loafers,Clarks,Orange,7,N,3,"",$8.00,$23.00,""
05/07/2019,378,"",Dansko HELEN sneakers/ tan & orange/ 8,Women,Shoes,Athletic Shoes,Dansko,"Tan, Orange",8,N,1,"",$17.00,$27.00,""
05/10/2019,375,"",Munro tan sandals/ 9N,Women,Shoes,Sandals,Munro,Tan,9,N,1,"",$11.00,$18.00,""
05/10/2019,375,"",Johnston and Murphy silver KATY sandals/ 7.5,Women,Shoes,Sandals,Johnston & Murphy,"Silver, Black",7.5,N,3,"",$12.00,$23.00,""
05/10/2019,375,"",Spring Step gold slides/ 11,Women,Shoes,Sandals,Spring Step,Gold,11,N,15,"",$9.00,$15.00,""
05/11/2019,374,"",Sanctuary black tank dress/ xs,Women,Dresses,"",Sanctuary,Black,XS,N,3,"",$12.00,$28.00,""
05/11/2019,374,"",Rangoni Italian black slip ons/8.5 AAAA,Women,Shoes,"",Rangoni,Black,8.5,N,1,"",$18.00,$18.00,""
05/12/2019,373,"",The north face purple & pink athletic ss shirt/ m,Women,Tops,Tees - Short Sleeve,The North Face,"Purple, Pink",S,N,3,"",$7.00,$14.00,""
05/12/2019,373,"",Carolina Panthers Newton ss T-shirt/ L,Women,Tops,Tees - Short Sleeve,Majestic,Blue,L,Y,6,"",$6.00,$14.00,""
05/12/2019,373,"",Altar’d state white denim & cream lace shorts/ 0,Women,Shorts,"",Altar'd State,"White, Cream",0,Y,8,"",$7.00,$14.00,""
05/13/2019,372,"",Vineyard Vines 7” butter yellow shorts/ 35,Men,Shorts,"",Vineyard Vines,Yellow,35,N,6,"",$10.00,$20.00,""
05/13/2019,372,"",White House black market black white tan dress/ 2,Women,Dresses,"",White House Black Market,"Black, Tan",2,Y,3,"",$11.00,$18.00,""
05/13/2019,372,"",Neon Buddha sky blue tank/ M,Women,Tops,Tank Tops,neon buddha,Blue,M,N,1,"",$8.00,$15.00,""
05/13/2019,372,"",Sweet Pea multi textile LS shirt/ L,Women,Tops,"",Sweet Pea,Black,L,N,3,"",$11.00,$12.00,""
05/13/2019,372,"",Puma pink duo cell athletic baseball hat,Women,Accessories,Hats,Puma,Pink,OS,N,18,"",$11.00,$14.00,""
05/13/2019,372,"",Lucky Brand rust boho top/ XS,Women,Tops,"",Lucky Brand,"",XS,N,2,"",$8.00,$15.00,""
05/14/2019,371,"",YFB long sleeve blue high -low blouse/ XS,Women,Tops,Blouses,Young Fabulous & Broke,Blue,XS,Y,4,"",$9.00,$19.00,""
05/15/2019,370,"",Hind tan black cycling jacket/ L,Men,Jackets & Coats,Lightweight & Shirt Jackets,Hind,"Tan, Black",L,N,2,"",$9.00,$15.00,""
05/15/2019,370,"",REI purple plaid adventure LS top/ m,Women,Tops,"",REI,Purple,M,N,8,"",$10.00,$18.00,""
05/24/2019,361,"",Athleta gray fast track seamless tank/ XS,Women,Tops,Tank Tops,Athleta,Gray,XS,N,7,"",$8.00,$16.00,""
05/26/2019,359,"",Lucy purple and white stripe half zip/ S,Women,Tops,"",Lucy,"Purple, White",S,N,2,"",$10.00,$16.00,""
05/26/2019,359,"",Spense royal blue dress/12,Women,Dresses,"",Spense,Blue,12,Y,8,"",$11.00,$15.00,""
05/26/2019,359,"",Exofficio “Air Strip” plaid LS shirt/ 2xl,Women,Tops,"",Exofficio,"Blue, Green",2X,N,0,"",$16.00,$19.00,""
05/26/2019,359,"",Vintage Exofficio long sleeve tan fishing shirt/ s,Men,Shirts,"",Exofficio,Tan,S,N,4,"",$11.00,$17.00,""
05/26/2019,359,"",Athleta fast track 1/2 zip purplish blue/ S,Women,Tops,"",Athleta,"Blue, Purple",S,N,9,"",$12.00,$20.00,""
05/27/2019,358,"",Francesca’s key hole sleeveless white dress/ S,Women,Dresses,"",Francesca's Collections,White,S,N,3,"",$9.00,$14.00,""
05/27/2019,358,"",Urban nomad boho dress/ s/m,Women,Dresses,"",EARTHBOUND,"",S,N,15,"",$10.00,$25.00,""
05/27/2019,358,"",Gap skinnycrop tan & white stripe/ 2,Women,Pants,Ankle & Cropped,GAP,"Tan, White",2,N,1,"",$9.00,$14.00,""
06/04/2019,350,"",MPG coral athletic tank/XS,Women,Tops,Tank Tops,MPG,"",XS,N,0,"",$12.00,$15.00,""
06/04/2019,350,"",Reebok black & white athletic shorts/XS,Women,Shorts,"",Reebok,"Black, White",XS,N,6,"",$7.00,$15.00,""
06/04/2019,350,"",J. Crew navy broken in chino/ 0,Women,Shorts,"",J. Crew,Blue,0,N,1,"",$7.00,$25.00,""
06/04/2019,350,"",Fabletics mint tank/ XS,Women,Tops,Tank Tops,Fabletics,Green,XS,N,5,"",$5.00,$15.00,""
06/06/2019,348,"",J. Crew double-stripe sleeveless rash guard/ xxs,Women,Swim,"",J. Crew,"Blue, Orange",XXS,N,3,"",$10.00,$15.00,""
06/07/2019,347,"",AR SRPLS gray & black star sweatshirt/ med,Women,Tops,Sweatshirts & Hoodies,AR SRPLS,"Gray, Black",M,Y,2,"",$17.00,$17.00,""
06/07/2019,347,"",Old navy string bikini bottom/ XS,Women,Swim,"",Old Navy,"",XS,Y,0,"",$6.00,$10.00,""
06/07/2019,347,"",Prana Julz LS lightweight hooded shirt/S,Women,Tops,Tees - Long Sleeve,Prana,"",S,N,7,"",$10.00,$17.00,""
06/07/2019,347,"",Lucy Tech blue patterned tank top/ S,Women,Tops,Tank Tops,Lucy,Blue,S,N,1,"",$7.00,$15.00,""
06/09/2019,345,"",Athleta brown floral tankini top/ XS,Women,Swim,"",Athleta,"Brown, Black",XS,N,3,"",$9.00,$14.00,""
06/09/2019,345,"","Napapijri ""school of art"" lined khakis/ S",Women,Pants,"",Napapijri,"",S,N,5,"",$15.00,$30.00,""
06/09/2019,345,"",Free People black semi sheer ruffled tunic/ XS,Women,Tops,Tunics,Free People,Black,XS,N,14,"",$8.00,$17.00,""
06/09/2019,345,"",Loft semi sheer cream flower short sleeve t/ SP,Women,Tops,Tees - Short Sleeve,LOFT,Cream,SP,N,0,"",$15.00,$20.00,""
06/19/2019,335,"",Claudia Ciuti Italian charcoal shoes/ 7.5,Women,Shoes,"",Claudia Ciuti,"Gray, Black",7.5,N,2,"",$13.00,$20.00,""
06/19/2019,335,"",AE soft & sexy navy white tie dye tank/ XS,Women,Tops,Tank Tops,American Eagle Outfitters,"Blue, White",XS,N,12,"",$5.00,$12.00,""
06/19/2019,335,"",DEliA’s Taylor denim cutoff shorts/0,Women,Shorts,Jean Shorts,dELiA*s,Blue,0,N,0,"",$9.00,$11.00,""
06/19/2019,335,"",Loft 3/4 sleeve lightweight rust sweater /XS,Women,Sweaters,"",LOFT,"",XS,Y,2,"",$10.00,$14.00,""
06/19/2019,335,"",Laundry by design black&white tie dye maxi dress,Women,Dresses,Maxi,Laundry by Design,"Black, White",S,N,4,"",$15.00,$21.00,""
06/19/2019,335,"",Genetic denim “the Liam” jeans/ 27,Women,Jeans,"",Genetic Denim,Blue,27,N,3,"",$15.00,$15.00,""
06/19/2019,335,"",New Balance Vazee black & white/ 9.5,Women,Shoes,Athletic Shoes,New Balance,"Black, White",9.5,N,3,"",$11.00,$17.00,""
06/27/2019,327,"",Navy & white off shoulder dress/ s,Women,Dresses,"",Rebellion,"White, Blue",S,N,2,"",$10.00,$14.00,""
06/27/2019,327,"","Flowy black, blue, & Gray tie dye tunic/ XS",Women,Tops,Tunics,lime n chili,"Gray, Black",S,N,1,"",$10.00,$15.00,""
06/27/2019,327,"",Cold shoulder white dress/ XS,Women,Dresses,"",Xhilaration,White,XS,N,1,"",$9.00,$10.00,""
06/28/2019,326,"",Lilly Pulitzer Sabrina floral strapless dress/0,Women,Dresses,Strapless,Lilly Pulitzer,"Blue, Green",0,Y,10,"",$16.00,$45.00,""
06/28/2019,326,"",Lilly Pulitzer Katie white cut-in shift dress/0,Women,Dresses,Mini,Lilly Pulitzer,White,0,N,34,"",$51.00,$80.00,""
06/28/2019,326,"",Navy strapless dress/ juniors 1,Women,Dresses,Strapless,BCX,Blue,1J,N,0,"",$10.00,$10.00,""
06/29/2019,325,"",Prodotto Importato ITALIA ss T-shirt/ med,Men,Shirts,Tees - Short Sleeve,Prodotto Importato,"White, Blue",M,N,3,"",$8.00,$12.00,""
07/05/2019,319,"",Adidas Originals Stan Smith Adicolor blue/ 10.5,Men,Shoes,Sneakers,adidas,Blue,10.5,N,7,"",$12.00,$36.00,""
07/05/2019,319,"",REI dusty blue short sleeve t/ s,Women,Tops,Tees - Short Sleeve,REI,Blue,S,N,1,"",$8.00,$14.00,""
07/05/2019,319,"",Brooks black athletic skort/ S,Women,Shorts,Skorts,Brooks,"Black, White",S,N,4,"",$9.00,$15.00,""
07/07/2019,317,"",J.Crew hi-rise skinny cargo pants terra-cotta/ 24,Women,Pants,"",J. Crew,"Orange, Red",24,Y,2,"",$10.00,$15.00,""
07/11/2019,313,"",Donald J Pliner CAIT black sandal/ 6,Women,Shoes,Sandals,Donald J. Pliner,Black,6,N,6,"",$16.00,$23.00,""
07/12/2019,312,"",Vineyard Vines olive stretch cutoff capris/ 0,Women,Pants,Capris,Vineyard Vines,"",0,N,1,"",$15.00,$18.00,""
07/14/2019,310,"",Curio cream crochet knit floral tunic mini dress/S,Women,Dresses,Mini,curio,"Cream, Blue",S,N,3,"",$14.00,$22.00,""
07/14/2019,310,"",MOTT50 red faux wrap dress/ S,Women,Dresses,"",MOTT50,"Red, Pink",S,N,6,"",$18.00,$18.00,""
07/14/2019,310,"",Adidas puremotion coolmax white blue golf shirt/ L,Men,Shirts,Polos,adidas,"White, Blue",L,N,10,"",$10.00,$15.00,""
07/14/2019,310,"",Exofficio Air Strip long sleeve/ green/ s,Men,Shirts,"",Exofficio,Green,S,N,5,"",$11.00,$20.00,""
07/16/2019,308,"",Sam Edelman REANA strappy cork wedge/ putty/ 6.5,Women,Shoes,Wedges,Sam Edelman,Tan,6.5,N,4,"",$12.00,$18.00,""
07/16/2019,308,"",Under Armour clutchfit cleats/ 12,Men,Shoes,Athletic Shoes,Under Armour,"Blue, Yellow",12,N,4,"",$9.00,$14.00,""
07/19/2019,305,"",Vineyard vines blue & white striped shorts/4,Women,Shorts,"",Vineyard Vines,"Blue, White",4,N,13,"",$12.00,$25.00,""
07/19/2019,305,"",Lilly pulitzer Adie shorts “chasing tail” 2,Women,Shorts,"",Lilly Pulitzer,"Blue, White",2,N,11,"",$14.00,$27.00,""
07/21/2019,303,"",Lululemon practice freely tank/ frond green/ 2,Women,Tops,Tank Tops,lululemon athletica,"Green, White",2,N,4,"",$12.00,$25.00,""
07/27/2019,297,"",The North Face green tan plaid button shirt/XL,Men,Shirts,Casual Button Down Shirts,The North Face,"Green, Tan",XL,N,2,"",$16.00,$20.00,""
07/27/2019,297,"",Boden blue & green short sleeve top/ s,Women,Tops,Tees - Short Sleeve,Boden,"Blue, Green",S,N,1,"",$14.00,$18.00,""
07/27/2019,297,"",Haute Hippie ivory & black modal tank/ XS,Women,Tops,Tank Tops,Haute Hippie,"Cream, Black",XS,N,2,"",$16.00,$25.00,""
07/27/2019,297,"",Free people striped LS top/ beaded lace arms/ XS,Women,Tops,Tees - Long Sleeve,Free People,Orange,XS,N,3,"",$11.00,$15.00,""
07/27/2019,297,"",Anthropologie LITTLE YELLOW BUTTON striped tank XS,Women,Tops,Tank Tops,Anthropologie,"Blue, White",XS,N,2,"",$10.00,$10.00,""
07/27/2019,297,"",Wonderly multi textile skirted skirted tank/ S,Women,Tops,Tank Tops,Wonderly,"",S,N,1,"",$9.00,$15.00,""
07/28/2019,296,"",New Balance Cruz/black/ 9.5,Men,Shoes,Sneakers,New Balance,Black,9.5,N,10,"",$9.00,$13.00,""
08/03/2019,290,"",Athleta mint & white STRIDE CRUNCH & PUNCH tank/ S,Women,Tops,Tank Tops,Athleta,"Green, White",S,N,1,"",$14.00,$15.00,""
08/03/2019,290,"",Anthropologie TINY charcoal&silver textile tank/ S,Women,Tops,Tank Tops,Anthropologie,"Gray, Silver",S,N,3,"",$9.00,$18.00,""
08/03/2019,290,"",Anthro Pilcro and the Letterpress Stet crops/27,Women,Pants,Ankle & Cropped,Anthropologie,Tan,27,N,3,"",$12.00,$20.00,""
08/03/2019,290,"",Francesca's ALYA black embroidered Tank/ S,Women,Tops,Tank Tops,Alya,Black,S,N,2,"",$9.00,$14.00,""
08/03/2019,290,"",Happening in the Present white sheer crop/ XS,Women,Tops,Crop Tops,happening in the present,"White, Blue",XS,N,0,"",$10.00,$14.00,""
08/03/2019,290,"",Hale Bob diamond lined tank/ S,Women,Tops,Tank Tops,"","",S,N,1,"",$12.00,$23.00,""
08/04/2019,289,"",Old navy black full wrap dress/ S,Women,Dresses,Midi,Old Navy,Black,S,N,4,"",$9.00,$10.00,""
08/04/2019,289,"",Crosby lavender tank// XS,Women,Tops,Tank Tops,crosby.,"Purple, Gray",XS,N,2,"",$7.00,$15.00,""
08/08/2019,285,"",Lucky brand beaded elephant navy ss t shirt/M,Women,Tops,Tees - Short Sleeve,"",Blue,M,N,1,"",$12.00,$12.00,""
08/08/2019,285,"",Mud pie black tank blouse/S,Women,Tops,Tank Tops,Mud Pie,Black,S,N,3,"",$8.00,$15.00,""
08/08/2019,285,"",Irish American black tank/ S,Women,Tops,Tank Tops,Modern Lux,Black,S,N,5,"",$9.00,$15.00,""
08/09/2019,284,"",Adidas pink long sleeve athletic shirt/ S,Women,Tops,Tees - Long Sleeve,adidas,Pink,S,N,2,"",$10.00,$14.00,""
08/09/2019,284,"",Rasolli black beaded espadrilles/ 8.5,Women,Shoes,Espadrilles,Rasolli,Black,8.5,N,2,"",$12.00,$12.00,""
08/09/2019,284,"",Kumfs brown Mary Janes/ 9.5 (41),Women,Shoes,"",Kumfs,Brown,9.5,N,3,"",$16.00,$29.00,""
08/10/2019,283,"",Teeze Me black off shoulder mini skater dress/ 1/2,Women,Dresses,Mini,Teeze Me,Black,1J,N,5,"",$11.00,$16.00,""
08/10/2019,283,"",Lucy black & grey half zip/ M,Women,Tops,Sweatshirts & Hoodies,Lucy,"Black, Gray",M,N,3,"",$13.00,$16.00,""
08/11/2019,282,"",Threads 4 Thought mint ss T-shirt/ XS,Women,Tops,Tees - Short Sleeve,Threads 4 Thought,Green,XS,N,2,"",$11.00,$11.00,""
08/11/2019,282,"",Banana Republic teal merino cardigan/ S,Women,Sweaters,Cardigans,Banana Republic,"Green, Blue",S,Y,14,"",$10.00,$18.00,""
